0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
A,5,0.0,4.0,0.0,0.0,5.0,2.0,4.0,0.0,7.0,0.0,0.0,560590,None
B,1384,35327.0,35508.0,39986.0,29729.0,17021.0,5063.0,1610.0,1871.0,27033.0,28286.0,5.0,560590,None
C,1521,31624.0,28011.0,30115.0,33058.0,14007.0,6704.0,1152.0,1670.0,30203.0,35439.0,14.0,560590,None
D,6888,22515.0,26090.0,25368.0,20395.0,11738.0,7214.0,1518.0,1369.0,26935.0,29273.0,5.0,560590,None
E,0,5.0,4.0,14.0,3.0,12.0,2.0,1.0,6.0,3.0,0.0,0.0,560590,None
F,12,0.0,0.0,13.0,14.0,15.0,12.0,10.0,11.0,4.0,0.0,2.0,560590,None
G,None,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,560590,None
H,None,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,560590,None
